test;jaar;ring;vjaar;vring;mjaar;mring;geslacht
;0;1;2010;6357819;2015;6285666;
;0;2;2016;6021406;2013;6060570;
;0;3;2015;6048785;2011;6115344;
;0;4;2016;6021902;2016;6021800;
;2000;6485500;1997;6423539;1998;6429618;M
;2000;6485533;;;;;V
;2000;6485568;1998;6396340;1997;6362266;V
;2007;6031645;2000;6485500;2000;6540682;M
;2007;6031669;2000;6485500;2000;6540682;M
;2007;6031700;2000;6485500;2000;6485568;M
;2005;6176491;;;;;M
;2005;6176661;;;;;V
;2005;6176678;2001;6153861;2002;6121791;V
;2011;6115406;2008;6178055;2006;6033673;V
;2011;6115441;2007;6031700;2010;6031073;V
;2011;6115471;2008;6178055;2006;6033673;M
;2009;6111718;1998;6335690;2008;6259169;M
;2009;6159408;;;;;V
;2009;6159491;2007;6348409;2005;6398933;M
;2009;6181228;2004;6356585;2005;6341163;M
;2010;6031073;2009;6357220;2006;6033902;V
;2010;6031709;2002;6183083;2007;6033018;M
;2010;6031750;1998;6335690;2004;6307341;V
;2012;6025886;2010;6023340;2011;6332526;M
;2012;6079884;;;;;V
;2012;6207981;2012;3095082;2007;3008385;M
;2012;6207984;2012;6207981;2011;5140795;M
;2012;6233362;2008;6383049;2008;6383036;V
;2014;6070967;2012;6023206;2013;6060492;V
;2014;6070968;2012;6023206;2013;6060492;V
;2014;6070970;2007;6031700;2010;6031073;M
;2014;6070977;2010;6031709;2013;6060493;M
;1998;6429618;;;;;V
;1998;6535619;;;;;M
;1999;3172131;;;;;M
;1999;3199708;;;;;M
;1999;6151734;;;;;M
;2007;6206201;;;;;M
;2007;6206280;;;;;V
;2007;6209869;2002;6499038;2005;6105653;M
;2003;6257069;;;;;V
;2003;6257098;1998;6335690;1997;6407575;M
;2003;6257240;1998;6335690;1997;6407575;M
;2003;6488340;;;;;V
;2003;1536568;;;;;M
;2012;6023206;2009;6111718;2010;6297668;M
;2012;6023210;2010;6297742;2009;2035886;M
;2012;6023227;2003;6257098;2010;3169150;M
;2002;6183083;2000;6485499;2000;6540682;M
;2002;6183100;1998;6335690;2000;6345097;M
;2002;6183124;;;;;M
;2002;6183145;;;;;V
;2015;6047589;2002;6183083;2012;6023685;M
;2015;6048785;2014;6072295;2014;3076106;M
;2015;6048786;2014;6072295;2014;3076106;V
;2015;6049247;2009;6110460;2017;6050887;-
;2015;6061085;2016;6021406;2014;6070613;M
;2010;6357820;2007;6031645;2006;6033673;M
;2010;493;;;;;V
;2011;2071186;2005;2079799;2006;2075986;V
;2000;6345097;;;;;V
;2000;6419691;;;;;V
;2000;6480541;;;;;V
;2000;6480738;;;;;M
;2000;6485499;1997;6423539;1998;6429618;M
;1997;6423539;;;;;M
;1997;6467614;;;;;V
;1998;6335690;;;;;M
;1998;6396340;;;;;M
;1998;6425899;;;;;M
;2000;6540682;1999;6151752;1993;6383740;V
;2001;6041495;;;;;M
;2001;6151481;1998;6535619;1997;6364034;M
;2001;6151494;;;;;V
;2008;6178131;2001;6346044;2001;6346036;M
;2008;6179724;;;;;V
;2008;6201725;2005;6147603;2007;6191808;M
;2008;6201752;2001;6203463;2005;6147649;V
;2008;6201753;;;;;V
;2006;6033682;1997;6423539;1998;6429618;M
;2006;6033749;;;;;V
;2006;6033780;2000;6485499;2003;6255266;V
;2006;6033870;2004;6231892;2005;6221125;V
;2006;6033896;2000;6485500;2000;6540682;M
;2013;6060492;2012;6025886;2012;6023668;V
;2013;6060493;2012;6025886;2012;6023668;V
;2013;6060518;2013;6062074;2011;6115406;V
;2013;6060570;2006;6033896;2011;6115567;V
;2005;2079799;2004;2029292;2000;2047531;M
;2005;3006565;;;;;V
;2005;3083812;;;;;V
;2005;5124148;;;;;M
;2014;6070491;2003;6257240;2012;6023228;V
;2014;6070492;2007;6031645;2011;6115406;V
;2014;6070543;2008;6178055;2006;6033870;V
;2014;6070552;2007;6031645;2011;6115406;M
;2014;6070601;2010;6031709;2013;6060493;V
;2004;6307210;;;;;V
;2004;6307259;1998;6335690;1997;6407575;V
;2004;6307341;;;;;V
;2004;6356585;1993;6115827;2000;6529154;M
;2011;6119064;2005;6176121;2005;6176134;V
;2011;6119165;2009;6111599;2009;198;M
;2011;6132214;;;;;M
;2003;2183842;;;;;M
;2003;6103342;;;;;M
;2003;6104061;;;;;M
;1999;6563879;;;;;M
;2000;2047531;;;;;V
;2000;3272760;;;;;M
;2000;5270833;;;;;M
;2008;5369969;;;;;M
;2008;6094100;2003;1536568;2003;6488340;V
;2008;6118802;;;;;M
;2008;6155903;2003;6103342;2005;6080658;M
;2005;5369393;;;;;V
;2005;6080658;;;;;V
;2005;6105653;;;;;V
;2015;6046414;2014;6070977;2011;6115406;M
;2015;6046458;2015;6047589;2012;6233363;-
;2015;6046462;2014;6070615;2013;6060570;M
;2015;6046474;2007;6031700;2012;6233363;V
;2012;2036399;2005;2079799;2004;6307259;M
;2012;3095082;2007;3199999;2007;3034354;M
;2012;3168830;1999;3199708;2007;4361085;M
;2012;3691293;2008;5369969;2005;5369393;V
;2001;6345101;2000;6480738;1997;6421504;M
;2001;6346036;2000;6485499;2000;6485533;V
;2001;6346044;1999;6563879;1997;6423531;M
;2016;6021538;2008;6178055;2014;6070967;M
;2016;6021542;2010;6357819;2014;6070620;V
;2016;6021741;2008;6178055;2014;6070601;V
;2016;6021773;2015;6034016;2010;6031073;M
;2016;6021783;2015;6046485;2015;6279114;V
;2014;6072295;2012;2036399;2011;6119064;M
;2014;6072324;2011;2202859;2010;6031750;V
;2014;6075218;2008;6155903;2006;6397819;V
;2014;6078750;2007;6348410;2012;6238236;M
;2008;6383049;2001;6345101;2003;6257007;M
;2009;1480298;;;;;M
;2009;2035886;2005;2079799;2004;6307259;V
;2009;5186421;2005;5124148;2006;5010619;V
;2009;6031423;;;;;M
;1997;6407575;;;;;V
;1997;6421504;;;;;V
;1997;6423531;;;;;V
;2004;2029292;;;;;M
;2004;6082290;;;;;M
;2004;6095460;;;;;M
;2001;6176675;;;;;V
;2001;6180839;;;;;V
;2001;6180847;;;;;M
;2001;6203463;;;;;M
;2015;6285669;2011;6115535;2015;6233362;V
;2015;6285681;2002;6183083;2014;6070473;M
;2015;6285683;2008;6201725;2013;6056622;V
;2015;6285684;2008;6201725;2013;6056622;V
;2006;6033902;1998;6335690;2003;6257069;V
;2006;6073005;;;;;V
;2006;6108513;;;;;V
;2006;6145813;1996;4139270;2004;447052;M
;2012;6023720;2011;6115471;2006;6033902;V
;2012;6025884;2012;6023210;2011;6065070;V
;2012;6025885;2012;6023210;2011;6065070;V
;2011;6065070;2007;5003910;2010;6031946;V
;2011;6115319;2008;6178131;2006;6033780;V
;2011;6115344;2006;6033682;2006;6033902;V
;2010;6297668;2004;6095460;2006;6210255;V
;2010;6297742;;;;;M
;2010;6357819;2007;6031645;2006;6033673;M
;2007;3199999;;;;;M
;2007;4361085;;;;;V
;2007;5003910;2000;5270833;2002;5116113;M
;2007;6031603;2006;6033896;2005;6176678;M
;2007;6031626;2001;6346044;2001;6346036;M
;2016;6021800;2015;6034016;2015;6279114;V
